date,items,pettah_average,pettah_min_value,pettah_max_value,food_inflation_Base_2013,percipitation,Bankrupt,pettah_range,pettah_midpoint
8/31/2015,Pulses (Rs/Kg)_Green Gram,186,175,190,109.1,2.81,0,15,182.5
8/31/2015,Pulses (Rs/Kg)_Green Gram,186,175,190,109.1,2.81,0,15,182.5
8/31/2015,Rice (Rs/kg)_Nadu 2,63.8,62,65,109.1,2.81,0,3,63.5
8/31/2015,Pulses (Rs/Kg)_Cowpea,205,165,230,109.1,2.81,0,65,197.5
8/31/2015,Rice (Rs/kg)_Samba 1,91.4,90,93,109.1,2.81,0,3,91.5
8/31/2015,Onion (Rs/Kg)_Vedalan,85,80,90,109.1,2.81,0,10,85
8/31/2015,Rice (Rs/kg)_Nadu 1,69,68,70,109.1,2.81,0,2,69
8/31/2015,Potatoes (Rs/Kg)_Nuwaraeliya,97.5,95,100,109.1,2.81,0,5,97.5
8/31/2015,Potatoes (Rs/Kg)_Welimada,96.67,90,100,109.1,2.81,0,10,95
8/31/2015,Rice (Rs/kg)_Samba 2,83.8,82,85,109.1,2.81,0,3,83.5
9/1/2015,Pulses (Rs/Kg)_Red Dhal,178.8,166,188,108.2,1.75,0,22,177
9/1/2015,Pulses (Rs/Kg)_Green Gram,181,175,190,108.2,1.75,0,15,182.5
9/1/2015,Rice (Rs/kg)_Nadu 2,63.4,62,64,108.2,1.75,0,2,63
9/1/2015,Rice (Rs/kg)_Nadu 1,67.25,65,70,108.2,1.75,0,5,67.5
9/1/2015,Potatoes (Rs/Kg)_Welimada,90,80,100,108.2,1.75,0,20,90
9/1/2015,Potatoes (Rs/Kg)_Nuwaraeliya,99,90,110,108.2,1.75,0,20,100
9/1/2015,Rice (Rs/kg)_Samba 1,90.8,88,94,108.2,1.75,0,6,91
9/1/2015,Onion (Rs/Kg)_Vedalan,83,80,90,108.2,1.75,0,10,85
9/1/2015,Pulses (Rs/Kg)_Cowpea,205,165,230,108.2,1.75,0,65,197.5
9/1/2015,Rice (Rs/kg)_Samba 2,84,82,86,108.2,1.75,0,4,84
9/2/2015,Potatoes (Rs/Kg)_Nuwaraeliya,102,90,110,108.2,1.37,0,20,100
9/2/2015,Potatoes (Rs/Kg)_Welimada,100,100,100,108.2,1.37,0,0,100
9/2/2015,Pulses (Rs/Kg)_Red Dhal,177.4,167,185,108.2,1.37,0,18,176
9/2/2015,Pulses (Rs/Kg)_Cowpea,231,225,235,108.2,1.37,0,10,230
9/2/2015,Onion (Rs/Kg)_Vedalan,87,80,90,108.2,1.37,0,10,85
9/2/2015,Pulses (Rs/Kg)_Green Gram,187,185,190,108.2,1.37,0,5,187.5
9/2/2015,Rice (Rs/kg)_Nadu 2,63.2,62,64,108.2,1.37,0,2,63
9/2/2015,Rice (Rs/kg)_Samba 1,91.8,90,95,108.2,1.37,0,5,92.5
9/2/2015,Rice (Rs/kg)_Nadu 1,67.6666,65,70,108.2,1.37,0,5,67.5
9/2/2015,Rice (Rs/kg)_Samba 2,85,83,86,108.2,1.37,0,3,84.5
9/3/2015,Pulses (Rs/Kg)_Cowpea,216,175,230,108.2,20.73,0,55,202.5
9/3/2015,Pulses (Rs/Kg)_Green Gram,183.75,175,190,108.2,20.73,0,15,182.5
9/3/2015,Pulses (Rs/Kg)_Red Dhal,175.8,166,185,108.2,20.73,0,19,175.5
9/3/2015,Potatoes (Rs/Kg)_Nuwaraeliya,107.5,100,110,108.2,20.73,0,10,105
9/3/2015,Potatoes (Rs/Kg)_Welimada,97.5,95,100,108.2,20.73,0,5,97.5
9/3/2015,Onion (Rs/Kg)_Sinnan,56.67,40,70,108.2,20.73,0,30,55
9/3/2015,Rice (Rs/kg)_Nadu 2,63.2,62,64,108.2,20.73,0,2,63
9/3/2015,Rice (Rs/kg)_Samba 1,92.2,90,95,108.2,20.73,0,5,92.5
9/3/2015,Rice (Rs/kg)_Nadu 1,66.8,65,70,108.2,20.73,0,5,67.5
9/3/2015,Rice (Rs/kg)_Samba 2,84,82,86,108.2,20.73,0,4,84
9/3/2015,Onion (Rs/Kg)_Vedalan,86,80,90,108.2,20.73,0,10,85
9/4/2015,Pulses (Rs/Kg)_Green Gram,188.25,185,190,108.2,15.4,0,5,187.5
9/4/2015,Potatoes (Rs/Kg)_Nuwaraeliya,111.25,110,115,108.2,15.4,0,5,112.5
9/4/2015,Pulses (Rs/Kg)_Red Dhal,176.4,168,185,108.2,15.4,0,17,176.5
9/4/2015,Potatoes (Rs/Kg)_Welimada,95,90,100,108.2,15.4,0,10,95
9/4/2015,Pulses (Rs/Kg)_Cowpea,217,170,235,108.2,15.4,0,65,202.5
9/4/2015,Rice (Rs/kg)_Nadu 1,68,66,70,108.2,15.4,0,4,68
9/4/2015,Rice (Rs/kg)_Samba 1,92.2,90,95,108.2,15.4,0,5,92.5
9/4/2015,Onion (Rs/Kg)_Vedalan,86,80,90,108.2,15.4,0,10,85
9/4/2015,Onion (Rs/Kg)_Sinnan,65,60,70,108.2,15.4,0,10,65
9/4/2015,Rice (Rs/kg)_Samba 2,85,84,86,108.2,15.4,0,2,85
9/4/2015,Rice (Rs/kg)_Nadu 2,64,63,65,108.2,15.4,0,2,64
9/7/2015,Potatoes (Rs/Kg)_Nuwaraeliya,108.75,105,110,108.2,4.39,0,5,107.5
9/7/2015,Potatoes (Rs/Kg)_Welimada,95,90,100,108.2,4.39,0,10,95
